"filename", "language", "Markdown", "XML", "Java", "comment", "blank", "total"
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\README.md", "Markdown", 112, 0, 0, 0, 84, 196
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\pom.xml", "XML", 0, 27, 0, 0, 6, 33
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\basic_stuff.java", "Java", 0, 0, 3, 0, 5, 8
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\declaring_types.java", "Java", 0, 0, 10, 12, 5, 27
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\for_looops.java", "Java", 0, 0, 18, 1, 6, 25
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\getters_and_setters.java", "Java", 0, 0, 36, 21, 10, 67
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\how_to_methods.java", "Java", 0, 0, 22, 1, 17, 40
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\if_comparisons.java", "Java", 0, 0, 41, 3, 12, 56
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\input_output_scanner.java", "Java", 0, 0, 59, 14, 19, 92
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\lister.java", "Java", 0, 0, 22, 22, 15, 59
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\switchh.java", "Java", 0, 0, 31, 0, 3, 34
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\main_folder_code\Main.java", "Java", 0, 0, 17, 3, 9, 29
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\hashmap.java", "Java", 0, 0, 41, 13, 17, 71
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\how_import_works.java", "Java", 0, 0, 13, 11, 7, 31
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\private_public_explained.java", "Java", 0, 0, 7, 13, 7, 27
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\return_methods.java", "Java", 0, 0, 54, 2, 14, 70
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\try_and_catch_throw.java", "Java", 0, 0, 35, 24, 14, 73
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\methods_examples\class_extiension.java", "Java", 0, 0, 28, 3, 8, 39
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\methods_examples\clone_method.java", "Java", 0, 0, 29, 17, 10, 56
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\mock_import_package\methods_to_import.java", "Java", 0, 0, 26, 0, 9, 35
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\mock_import_package\person.java", "Java", 0, 0, 15, 1, 5, 21
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\mock_import_package\varibles_to_import.java", "Java", 0, 0, 8, 5, 7, 20
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\validation_classes\email_validation.java", "Java", 0, 0, 21, 3, 5, 29
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\test\java\package_1\class_1Test.java", "Java", 0, 0, 26, 10, 13, 49
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\test\java\validation_classes\email_validationTest.java", "Java", 0, 0, 40, 6, 19, 65
"Total", "-", 112, 27, 602, 185, 326, 1252
