"filename", "language", "Java", "Markdown", "XML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\README.md", "Markdown", 0, 162, 0, 0, 0, 0, 109, 271
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\pom.xml", "XML", 0, 0, 37, 0, 0, 0, 9, 46
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\Main.class", "Java", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\Main.java", "Java", 16, 0, 0, 0, 0, 3, 11, 30
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\basic_stuff.java", "Java", 3, 0, 0, 0, 0, 0, 5, 8
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\declaring_types.java", "Java", 10, 0, 0, 0, 0, 12, 5, 27
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\for_looops.java", "Java", 18, 0, 0, 0, 0, 1, 6, 25
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\getters_and_setters.java", "Java", 36, 0, 0, 0, 0, 21, 10, 67
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\how_to_methods.class", "Java", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\how_to_methods.java", "Java", 22, 0, 0, 0, 0, 1, 10, 33
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\if_comparisons.java", "Java", 41, 0, 0, 0, 0, 3, 12, 56
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\input_output_scanner.java", "Java", 59, 0, 0, 0, 0, 14, 19, 92
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\lister.java", "Java", 22, 0, 0, 0, 0, 22, 15, 59
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\subclasses.java", "Java", 10, 0, 0, 0, 0, 6, 4, 20
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\project_mappe\src\main\java\basic_functionalities\switchh.java", "Java", 31, 0, 0, 0, 0, 0, 3, 34
